Date,ISIN,Coupon,Issue_date,Maturity_date,Close_price
1/2/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.85
1/3/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/6/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/7/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/8/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/9/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/10/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/13/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/14/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/15/2020,CA135087D929,1.50%,10/14/2014,3/1/2020,99.86
1/2/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.26
1/3/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.28
1/6/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.28
1/7/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.27
1/8/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.28
1/9/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.28
1/10/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.28
1/13/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.27
1/14/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.28
1/15/2020,CA135087E596,0.75%,4/13/2015,9/1/2020,99.3
1/2/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.89
1/3/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.93
1/6/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.95
1/7/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.94
1/8/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.92
1/9/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.92
1/10/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.88
1/13/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.9
1/14/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.9
1/15/2020,CA135087F254,0.75%,10/19/2015,3/1/2021,98.93
1/2/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.41
1/3/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.45
1/6/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.49
1/7/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.46
1/8/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.46
1/9/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.43
1/10/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.43
1/13/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.38
1/14/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.41
1/15/2020,CA135087F585,0.75%,4/11/2016,9/1/2021,98.42
1/2/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.57
1/3/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.63
1/6/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.66
1/7/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.65
1/8/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.64
1/9/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.6
1/10/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.61
1/13/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.57
1/14/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.58
1/15/2020,CA135087G328,0.50%,10/11/2016,3/1/2022,97.61
1/2/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.53
1/3/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.59
1/6/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.62
1/7/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.59
1/8/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.58
1/9/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.52
1/10/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.52
1/13/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.46
1/14/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.47
1/15/2020,CA135087ZU15,2.75%,8/2/2011,6/1/2022,102.51
1/2/2020,CA135087H490,1.75%,10/6/2017,3/1/2023,100.31
1/3/2020,CA135087H490,1.75%,10/6/2017,3/1/2023,100.42
1/6/2020,CA135087H490,1.75%,10/6/2017,3/1/2023,100.48
1/7/2020,CA135087H490,1.75%,10/6/2017,3/1/2023,100.45
